-2.000000000000000000e+01,0.000000000000000000e+00,1.159968669526278973e-04,3.637978807091712952e-12
-2.000000000000000000e+01,4.081632653061224580e-01,1.157450606115162373e-04,-5.923891876591369510e-06
-2.000000000000000000e+01,8.163265306122449161e-01,1.149975869338959455e-04,-1.180797698907554150e-05
-2.000000000000000000e+01,1.224489795918367374e+00,1.137433937401510775e-04,-1.760863233357667923e-05
-2.000000000000000000e+01,1.632653061224489832e+00,1.119980879593640566e-04,-2.330136157979723066e-05
-2.000000000000000000e+01,2.040816326530612290e+00,1.097831991501152515e-04,-2.883186243707314134e-05
-2.000000000000000000e+01,2.448979591836734748e+00,1.071148144546896219e-04,-3.417090556467883289e-05
-2.000000000000000000e+01,2.857142857142857206e+00,1.040178467519581318e-04,-3.927575744455680251e-05
-2.000000000000000000e+01,3.265306122448979664e+00,1.005161175271496177e-04,-4.413366696098819375e-05
-2.000000000000000000e+01,3.673469387755102122e+00,9.664267417974770069e-05,-4.869237454840913415e-05
-2.000000000000000000e+01,4.081632653061224580e+00,9.242835949407890439e-05,-5.295940354699268937e-05
-2.000000000000000000e+01,4.489795918367347483e+00,8.790554420556873083e-05,-5.689206227543763816e-05
-2.000000000000000000e+01,4.897959183673469497e+00,8.311762940138578415e-05,-6.046162161510437727e-05
-2.000000000000000000e+01,5.306122448979591510e+00,7.809430098859593272e-05,-6.367668538587167859e-05
-2.000000000000000000e+01,5.714285714285714413e+00,7.288002234417945147e-05,-6.651034345850348473e-05
-2.000000000000000000e+01,6.122448979591837315e+00,6.750802276656031609e-05,-6.897069397382438183e-05
-2.000000000000000000e+01,6.530612244897959329e+00,6.202202348504215479e-05,-7.104389806045219302e-05
-2.000000000000000000e+01,6.938775510204081343e+00,5.646409408655017614e-05,-7.271917274920269847e-05
-2.000000000000000000e+01,7.346938775510204245e+00,5.086331293568946421e-05,-7.402741175610572100e-05
-2.000000000000000000e+01,7.755102040816327147e+00,4.526610428001731634e-05,-7.494767487514764071e-05
-2.000000000000000000e+01,8.163265306122449161e+00,3.969883982790634036e-05,-7.550939335487782955e-05
-2.000000000000000000e+01,8.571428571428571175e+00,3.419981294427998364e-05,-7.571367314085364342e-05
